Invoice_ID,Invoice_Date,City,Store_Format,Category,Brand,Channel,Payment_Mode,Units,Cost_Price,Selling_Price,Revenue,Cost,Margin,Margin_%,Stock_On_Hand,Reorder_Level,Lead_Time_Days,Customer_Age,Customer_Gender,Loyalty_Flag
58018430,02-02-24 13:50,Kolkata,Super,Grocery,Nestle,Online,Wallet,2,148.9990351,175.0572092,350.1144184,297.9980702,52.11634825,0.14885519,154,31,11,20,M,1
48157952,09-10-24 11:52,Hyderabad,Hyper,Home Care,PepsiCo,Offline,Wallet,1,80.62675928,106.0341973,106.0341973,80.62675928,25.40743799,0.239615508,130,24,5,26,F,1
23283831,26-08-24 22:03,Chennai,Hyper,Snacks,PepsiCo,Online,Card,5,181.2331697,208.9800228,1044.900114,906.1658484,138.7342658,0.132772754,270,44,8,27,F,0
53537460,09-06-24 4:34,Bengaluru,Hyper,Beverages,Nestle,Omnichannel,Card,2,195.8114025,260.8799601,521.7599202,391.6228049,130.1371153,0.249419532,403,63,8,,F,0
55348596,07-06-24 1:13,Delhi,Super,Snacks,ITC,Offline,Card,3,23.57188831,30.62447192,91.87341576,70.71566492,21.15775083,0.230292415,366,40,9,60,F,1
26584668,09-11-24 9:19,Ahmedabad,Super,Grocery,Tata,Omnichannel,Cash,4,12.59935382,13.56123448,54.24493792,50.39741529,3.847522627,0.070928694,443,56,8,41,F,0
64724429,01-02-24 8:53,Ahmedabad,Super,Snacks,Nestle,Online,UPI,1,12.22435692,13.72870376,13.72870376,12.22435692,1.504346847,0.109576758,108,66,9,61,F,1
87959927,11-09-24 12:57,Delhi,Super,Beverages,PepsiCo,Offline,Wallet,4,20.90342894,23.77608866,95.10435464,83.61371575,11.49063889,0.120821375,231,47,6,63,F,0
17834460,14-03-24 12:52,Bengaluru,Express,Dairy,Britannia,Online,UPI,3,73.96029125,84.58690697,253.7607209,221.8808738,31.87984715,0.125629558,124,23,13,46,M,0
17197345,04-02-24 8:59,Mumbai,Hyper,Grocery,Amul,Online,Wallet,4,101.4163014,121.60961,486.4384401,405.6652057,80.77323443,0.16605027,79,48,5,,F,0
61045800,11-07-24 3:57,Ahmedabad,Super,Personal Care,Parle,Omnichannel,Card,4,57.08176283,60.01737844,240.0695138,228.3270513,11.74246244,0.04891276,488,59,10,19,M,1
80308054,22-12-24 2:28,Delhi,Hyper,Snacks,HUL,Online,Wallet,3,35.77635816,46.29608755,138.8882627,107.3290745,31.55918816,0.227227179,342,65,5,,F,1
19199824,25-09-24 13:12,Mumbai,Express,Home Care,Amul,Offline,Cash,2,115.2162954,149.6990189,299.3980378,230.4325908,68.96544702,0.230347024,148,76,3,49,O,1
94971137,04-10-24 19:35,Mumbai,Hyper,Home Care,ITC,Offline,Wallet,3,142.2212037,151.1076391,453.3229174,426.663611,26.65930638,0.058808645,485,30,13,,F,0
52916538,18-09-24 21:06,Chennai,Super,Snacks,PepsiCo,Omnichannel,UPI,5,186.3267735,262.3175001,1311.5875,931.6338675,379.9536328,0.289689886,127,72,11,18,M,0
19570318,13-10-24 21:56,Delhi,Express,Dairy,Britannia,Offline,Cash,1,131.8638757,139.3141572,139.3141572,131.8638757,7.45028144,0.05347828,404,39,5,24,F,0
50254121,06-07-24 7:52,Pune,Hyper,Vegetables,ITC,Online,Wallet,4,156.4971493,196.1242277,784.4969106,625.9885972,158.5083134,0.202050908,69,22,13,,O,0
49031611,16-02-24 18:16,Pune,Express,Dairy,Tata,Online,Cash,3,194.1736767,233.576957,700.7308711,582.52103,118.2098411,0.168695067,188,56,12,26,F,0
45129981,02-11-24 12:12,Mumbai,Express,Snacks,ITC,Offline,Card,4,107.4365176,112.9535106,451.8140422,429.7460703,22.06797198,0.048843041,101,54,4,37,O,0
62645501,13-06-24 9:23,Pune,Super,Fruits,Tata,Omnichannel,Card,1,41.95674198,45.96962653,45.96962653,41.95674198,4.012884558,0.087294261,219,78,12,,F,0
32202208,01-07-24 15:05,Chennai,Super,Beverages,HUL,Online,Card,2,147.1797693,172.2202247,344.4404494,294.3595385,50.08091089,0.145397879,258,74,10,32,M,1
99220120,15-05-24 8:11,Delhi,Super,Fruits,Tata,Offline,Card,1,42.11452494,50.38355467,50.38355467,42.11452494,8.26902973,0.164121602,490,63,14,,F,0
35722540,07-03-24 15:08,Mumbai,Express,Fruits,Amul,Offline,Cash,4,76.9459029,102.7329421,410.9317686,307.7836116,103.148157,0.251010423,225,54,13,55,nan,0
87884465,04-12-24 6:28,Mumbai,Hyper,Grocery,Parle,Offline,Card,4,156.0206984,195.2682062,781.0728248,624.0827935,156.9900313,0.200992822,196,56,6,53,F,1
83676607,12-10-24 6:32,Delhi,Hyper,Fruits,Britannia,Online,Wallet,5,13.32737494,18.61210588,93.0605294,66.63687472,26.42365468,0.283940515,136,69,6,24,F,0
47280599,23-08-24 0:16,Bengaluru,Super,Home Care,Tata,Omnichannel,UPI,1,25.4948531,36.13491834,36.13491834,25.4948531,10.64006524,0.294453834,301,27,3,,M,1
27355722,26-05-24 21:09,Delhi,Hyper,Home Care,ITC,Offline,UPI,4,168.0234858,219.3492561,877.3970245,672.093943,205.3030814,0.233991085,298,76,12,,M,0
97112535,27-10-24 7:24,Hyderabad,Super,Home Care,Parle,Omnichannel,Card,1,178.4948603,249.5975607,249.5975607,178.4948603,71.10270042,0.284869372,490,31,13,,F,1
61561691,18-07-24 1:58,Bengaluru,Express,Home Care,Amul,Offline,Wallet,2,87.13135224,106.0413398,212.0826795,174.2627045,37.81997506,0.178326562,252,68,14,30,F,1
39813919,10-06-24 20:18,Kolkata,Super,Fruits,Amul,Omnichannel,Card,2,170.4880536,191.319039,382.6380781,340.9761072,41.66197088,0.108880881,291,77,8,,M,1
23586460,13-06-24 10:01,Bengaluru,Hyper,Grocery,Britannia,Online,Wallet,2,98.61658422,115.6443675,231.288735,197.2331684,34.05556658,0.147242651,105,23,8,18,M,0
40599204,23-03-24 22:36,Chennai,Super,Personal Care,HUL,Offline,Cash,2,83.98505983,101.5406463,203.0812927,167.9701197,35.11117299,0.172892208,410,50,8,45,F,0
68702000,03-02-24 15:06,Ahmedabad,Super,Dairy,Britannia,Offline,Wallet,4,15.44674096,17.75425823,71.01703293,61.78696384,9.230069091,0.129969793,293,28,6,25,F,1
55563280,21-07-24 10:10,Pune,Express,Beverages,Amul,Offline,UPI,3,67.69876925,88.71611078,266.1483323,203.0963077,63.05202459,0.236905578,346,44,6,,O,1
15996094,20-11-24 1:55,Ahmedabad,Express,Beverages,PepsiCo,Online,Wallet,1,109.5491636,157.8251574,157.8251574,109.5491636,48.27599387,0.305882754,428,71,6,31,F,0
80161814,24-01-24 7:02,Kolkata,Super,Beverages,Nestle,Omnichannel,Wallet,4,128.0868282,160.6331919,642.5327676,512.347313,130.1854546,0.202612942,436,75,9,,F,1
38914711,09-11-24 6:38,Bengaluru,Express,Beverages,Nestle,Online,Card,1,79.17240287,88.19623179,88.19623179,79.17240287,9.023828914,0.102315357,485,32,4,46,M,0
27295129,29-10-24 2:03,Mumbai,Hyper,Snacks,Britannia,Offline,Card,5,139.2077126,156.7524659,783.7623297,696.0385629,87.72376681,0.11192649,266,74,9,32,M,0
72976549,11-04-24 0:25,Pune,Super,Grocery,Parle,Online,Wallet,4,197.944572,264.3974714,1057.589886,791.7782882,265.8115975,0.251337121,436,76,13,,M,0
76821990,18-08-24 13:23,Bengaluru,Hyper,Personal Care,HUL,Omnichannel,UPI,1,184.7063615,208.6671317,208.6671317,184.7063615,23.9607702,0.114827716,432,72,12,62,O,1
83967146,01-03-24 7:24,Pune,Hyper,Vegetables,Britannia,Offline,Wallet,3,65.74934592,83.65940165,250.9782049,197.2480378,53.73016717,0.214083,463,29,7,49,nan,1
10243012,03-10-24 16:51,Pune,Super,Fruits,Britannia,Offline,Cash,2,20.24999932,22.20324182,44.40648363,40.49999864,3.906484998,0.08797105,299,36,10,32,F,0
44859160,12-09-24 16:35,Bengaluru,Hyper,Vegetables,Parle,Offline,Wallet,3,87.01010078,109.7542579,329.2627738,261.0303023,68.23247142,0.207228016,475,44,3,,M,1
33623175,09-05-24 9:39,Ahmedabad,Hyper,Home Care,ITC,Offline,Card,2,151.0641477,199.2878982,398.5757965,302.1282954,96.44750111,0.241980326,493,79,6,,F,1
62257467,25-01-24 18:58,Delhi,Hyper,Snacks,ITC,Offline,Wallet,2,24.40911216,27.33353783,54.66707566,48.81822432,5.848851337,0.106990383,324,28,7,,O,0
97702183,20-12-24 7:19,Ahmedabad,Hyper,Beverages,HUL,Omnichannel,Wallet,2,48.81254334,52.80266524,105.6053305,97.62508667,7.980243811,0.075566676,310,49,7,51,nan,1
20783191,11-06-24 16:13,Pune,Hyper,Grocery,Tata,Offline,UPI,5,163.1123904,212.2986091,1061.493046,815.5619519,245.9310937,0.231684131,309,47,8,30,F,1
69081957,21-11-24 23:45,Kolkata,Express,Vegetables,Amul,Offline,Cash,2,59.80203596,75.97578972,151.9515794,119.6040719,32.34750753,0.212880364,368,49,4,,M,0
49997736,04-09-24 10:34,Bengaluru,Hyper,Dairy,Parle,Offline,Card,2,92.31718409,118.2489888,236.4979775,184.6343682,51.86360933,0.219298321,390,28,5,,M,0
51630449,11-10-24 2:39,Kolkata,Express,Beverages,Parle,Offline,Cash,1,49.69455613,59.75443504,59.75443504,49.69455613,10.05987891,0.168353678,192,42,13,,F,0
94763092,04-10-24 8:43,Mumbai,Hyper,Personal Care,Parle,Omnichannel,Card,3,182.9983003,256.5148208,769.5444625,548.994901,220.5495615,0.286597555,270,40,4,,M,0
18518711,12-03-24 1:02,Hyderabad,Super,Home Care,HUL,Offline,UPI,5,185.6285842,207.4652463,1037.326232,928.1429208,109.1833109,0.105254555,262,60,9,,O,0
49173064,12-05-24 19:49,Bengaluru,Express,Personal Care,Amul,Offline,Cash,3,187.3148755,250.1648425,750.4945276,561.9446265,188.5499011,0.251234212,297,68,5,64,M,0
